Sku,UPC,Catalogue N,Title,Label,Arq COST,Cost Price,V.S.P.,401 Co,401.Arq COST,401.Cost Price,401.V.S.P.,401.AVG. WEEK,402 Co,402.Arq COST,402.Cost Price,402.V.S.P.,402.AVG. WEEK,404 Co,404.Arq COST,404.Cost Price,404.V.S.P.,404.AVG. WEEK,405 Co,405.Arq COST,405.Cost Price,405.V.S.P.,405.AVG. WEEK,412 Co,412.Arq COST,412.Cost Price,412.V.S.P.,412.AVG. WEEK,416 Co,416.Arq COST,416.Cost Price,416.V.S.P.,416.AVG. WEEK,417 Co,417.Arq COST,417.Cost Price,417.V.S.P.,417.AVG. WEEK,423 Co,423.Arq COST,423.Cost Price,423.V.S.P.,423.AVG. WEEK,424 Co,424.Arq COST,424.Cost Price,424.V.S.P.,424.AVG. WEEK,425 Co,425.Arq COST,425.Cost Price,425.V.S.P.,425.AVG. WEEK,426 Co,426.Arq COST,426.Cost Price,426.V.S.P.,426.AVG. WEEK,429 Co,429.Arq COST,429.Cost Price,429.V.S.P.,429.AVG. WEEK,444 Co,444.Arq COST,444.Cost Price,444.V.S.P.,444.AVG. WEEK,490 Co,490.Arq COST,490.Cost Price,490.V.S.P.,490.AVG. WEEK,Latest SOH,total sale of Goods,Status
734872,6950000000000.0,WXJS-S2        ,BASEUS METAL WIRELESS CHARGER SILVER/WHITE                                                                    ,BASEUS                        ,1,79.5,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59.5,119.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,1.0,Slow moving
734873,6950000000000.0,WXBV-01        ,BASEUS BV WIRELESS CHARGER BLACK                                                                              ,BASEUS                        ,1,44.5,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.5,69.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.5,69.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0,2.0,Slow moving
734874,6950000000000.0,WXBV-02        ,BASEUS BV WIRELESS CHARGER WHITE                                                                              ,BASEUS                        ,1,44.5,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0,0.0,Non moving
734875,6950000000000.0,WXBV-03        ,BASEUS BV WIRELESS CHARGER BLUE                                                                               ,BASEUS                        ,1,44.5,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Run out of stock
734876,6950000000000.0,CCALL-JK01     ,BASEUS SIMPLE WIRELESS CHARGER BLACK                                                                          ,BASEUS                        ,1,54.5,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,49.5,99.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,1.0,Slow moving
734877,6950000000000.0,CCALL-JK02     ,BASEUS SIMPLE WIRELESS CHARGER WHITE                                                                          ,BASEUS                        ,1,54.5,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,148.5,297.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,3.0,Fast moving
734878,6950000000000.0,CCALL-AJK01    ,BASEUS SIMPLE WIRELESS CHARGER TRANSPARENT                                                                    ,BASEUS                        ,1,54.5,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,54.5,119.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,1.0,Slow moving
734879,6950000000000.0,WXXHJ-B01      ,BASEUS DUAL WIRELESS CHARGER BLACK +WALL CHARGER & CABLE                                                      ,BASEUS                        ,1,139.5,289,0.0,0.0,0.0,0.0,0.0,2.0,2.0,189.0,398.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,94.5,199.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,189.0,398.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0,5.0,Fast moving
734880,6950000000000.0,WXXHJ-B0S      ,BASEUS DUAL WIRELESS CHARGER SILVER +WALL CHARGER & CABLE                                                     ,BASEUS                        ,1,139.5,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-94.5,-199.0,-0.2,1.0,1.0,94.5,199.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0.0,Non moving
734881,6950000000000.0,WX2IN1-02      ,BASEUS SMART 2 IN 1 WIRELESS CHARGER WHITE                                                                    ,BASEUS                        ,1,84.5,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,845.0,1790.0,2.0,1.0,1.0,84.5,179.0,0.2,9.0,9.0,760.5,1611.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-84.5,-179.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0,19.0,Fast moving
734882,6950000000000.0,PPALL-AKU01    ,BASEUS MINI CU DIGITAL DISPLAY POWER BANK 10000MAH BLACK                                                      ,BASEUS                        ,1,64.5,139,0.0,0.0,0.0,0.0,0.0,1.0,1.0,64.5,139.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,64.5,139.0,0.2,0.0,0.0,0.0,0.0,0.0,2.0,2.0,129.0,278.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0,4.0,Fast moving
734883,6950000000000.0,PPALL-AKU02    ,BASEUS MINI CU DIGITAL DISPLAY POWER BANK 10000MAH WHITE                                                      ,BASEUS                        ,1,64.5,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,64.5,139.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,Slow moving
734884,6950000000000.0,PPALL-EX01     ,BASEUS DUAL OUTPUT WIRELESS CHARGE POWER BANK 8000MAH BLACK                                                   ,BASEUS                        ,1,79.5,169,0.0,0.0,0.0,0.0,0.0,2.0,2.0,139.0,298.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,69.5,149.0,0.2,1.0,1.0,69.5,149.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0,4.0,Fast moving
734885,6950000000000.0,PPALL-EX09     ,BASEUS DUAL OUTPUT WIRELESS CHARGE POWER BANK 8000MAH RED                                                     ,BASEUS                        ,1,79.5,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,79.5,169.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0,1.0,Slow moving
734886,6950000000000.0,PPALL-PX01     ,BASEUS PARALLEL LINE POWER BANK 10000MAH BLACK                                                                ,BASEUS                        ,1,59.5,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59.5,129.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59.5,129.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2.0,Slow moving
734887,6950000000000.0,PPALL-PX02     ,BASEUS PARALLEL LINE POWER BANK 10000MAH WHITE                                                                ,BASEUS                        ,1,59.5,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,0.0,Non moving
